"RecordSpec","DataKubun","MakeDate","TresenKubun","ChokyoDate","ChokyoTime","KettoNum","HaronTime4","LapTime4","HaronTime3","LapTime3","HaronTime2","LapTime2","LapTime1"
"HC","1","20230808","0","20141202","0504","2008104087","0721","188","0533","178","0355","183","172",
"HC","1","20230808","0","20141202","0504","2008104268","0752","200","0552","190","0362","184","178",
"HC","1","20230808","0","20141202","0520","2008104268","0706","193","0513","173","0340","177","163",
"HC","1","20230808","0","20141202","0659","2007102705","0623","161","0462","159","0303","150","153",
"HC","1","20230808","0","20141202","0659","2009105278","0624","164","0460","160","0300","148","152",
"HC","1","20230808","0","20141202","0659","2009105899","0664","178","0486","169","0317","163","154",
"HC","1","20230808","0","20141202","0659","2010110014","0622","161","0461","160","0301","151","150",
"HC","1","20230808","0","20141202","0659","2011103784","0627","159","0468","151","0317","157","160",
"HC","1","20230808","0","20141202","0659","2012104649","0658","180","0478","167","0311","161","150",
"HC","1","20230808","0","20141202","0659","2012104990","0653","183","0470","173","0297","158","139",
"HC","1","20230808","0","20141202","0659","2012110084","0665","179","0486","169","0317","159","158",
"HC","1","20230808","0","20141202","0700","2008102789","0628","177","0451","159","0292","148","144",
"HC","1","20230808","0","20141202","0700","2008103258","0630","176","0454","161","0293","148","145",
"HC","1","20230808","0","20141202","0700","2008110112","0703","176","0527","180","0347","170","177",
"HC","1","20230808","0","20141202","0700","2010100458","0689","175","0514","164","0350","169","181",
"HC","1","20230808","0","20141202","0700","2010101329","0731","186","0545","182","0363","182","181",
"HC","1","20230808","0","20141202","0700","2010103813","0641","179","0462","160","0302","149","153",
"HC","1","20230808","0","20141202","0700","2010109068","0645","175","0470","166","0304","150","154",
"HC","1","20230808","0","20141202","0700","2010110044","0706","176","0530","178","0352","173","179",
"HC","1","20230808","0","20141202","0700","2011101732","0642","169","0473","159","0314","155","159",
"HC","1","20230808","0","20141202","0700","2011101773","0703","175","0528","177","0351","173","178",
"HC","1","20230808","0","20141202","0700","2011102050","0706","171","0535","175","0360","174","186",
"HC","1","20230808","0","20141202","0700","2011104105","0652","175","0477","164","0313","157","156",
"HC","1","20230808","0","20141202","0700","2011104417","0678","174","0504","173","0331","166","165",
"HC","1","20230808","0","20141202","0700","2011104427","0642","172","0470","167","0303","148","155",
"HC","1","20230808","0","20141202","0700","2011104858","0697","177","0520","169","0351","175","176",
"HC","1","20230808","0","20141202","0700","2011110011","0686","175","0511","176","0335","165","170",
"HC","1","20230808","0","20141202","0700","2012100704","0649","169","0480","160","0320","160","160",
"HC","1","20230808","0","20141202","0700","2012102981","0721","180","0541","174","0367","185","182",
"HC","1","20230808","0","20141202","0700","2012103032","0649","164","0485","165","0320","161","159",
"HC","1","20230808","0","20141202","0700","2012103209","0698","173","0525","168","0357","173","184",
"HC","1","20230808","0","20141202","0700","2012104566","0652","165","0487","166","0321","156","165",
"HC","1","20230808","0","20141202","0701","2009103350","0712","188","0524","178","0346","171","175",
"HC","1","20230808","0","20141202","0701","2009105863","0772","192","0580","194","0386","191","195",
"HC","1","20230808","0","20141202","0701","2009106291","0746","184","0562","185","0377","183","194",
"HC","1","20230808","0","20141202","0701","2010104578","0729","191","0538","182","0356","178","178",
"HC","1","20230808","0","20141202","0701","2010104875","0706","185","0521","175","0346","166","180",
"HC","1","20230808","0","20141202","0701","2010105439","0710","178","0532","179","0353","174","179",
"HC","1","20230808","0","20141202","0701","2010105893","0716","181","0535","178","0357","177","180",
"HC","1","20230808","0","20141202","0701","2011100073","0701","184","0517","173","0344","172","172",
"HC","1","20230808","0","20141202","0701","2011103187","0755","186","0569","191","0378","190","188",
"HC","1","20230808","0","20141202","0701","2011104202","0719","180","0539","174","0365","180","185",
"HC","1","20230808","0","20141202","0701","2011104933","0740","188","0552","176","0376","180","196",
"HC","1","20230808","0","20141202","0701","2012100088","0746","193","0553","184","0369","181","188",
"HC","1","20230808","0","20141202","0701","2012100671","0708","188","0520","173","0347","172","175",
"HC","1","20230808","0","20141202","0701","2012100729","0706","182","0524","177","0347","176","171",
"HC","1","20230808","0","20141202","0701","2012101774","0722","183","0539","175","0364","177","187",
"HC","1","20230808","0","20141202","0701","2012102604","0764","187","0577","183","0394","187","207",
