"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1995100101","11200987","12229490","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0011330000",
"HS","1","20070808","1995100284","11201483","12224114","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0003255000",
"HS","1","20070808","1995100288","11201164","12227895","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0020806000",
"HS","1","20070808","1995100298","11201013","12213462","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0005250000",
"HS","1","20070808","1995100425","11201482","12218430","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0004120000",
"HS","1","20070808","1995100470","11200790","12224444","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0008400000",
"HS","1","20070808","1995100478","11201232","12223972","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0041200000",
"HS","1","20070808","1995100575","11201465","12235589","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0004515000",
"HS","1","20070808","1995100695","11201157","12230741","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0006180000",
"HS","1","20070808","1995100707","11201259","12233918","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0013596000",
"HS","1","20070808","1995100725","11201425","12232907","1995","006002","千葉県両総馬匹農業協同組合","両国市場","19970609","19970609","2","0005985000",
"HS","1","20070808","1995100776","11201011","12232809","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0005974000",
"HS","1","20070808","1995100790","11201342","12229737","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
